GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
myerp-coverage/myerp-model,com.dummy.myerp.model.bean.comptabilite,LigneEcritureComptable,0,112,0,2,0,29,0,14,0,13
myerp-coverage/myerp-model,com.dummy.myerp.model.bean.comptabilite,JournalComptable,83,87,21,7,22,25,13,11,2,8
myerp-coverage/myerp-model,com.dummy.myerp.model.bean.comptabilite,SequenceEcritureComptable,72,115,21,9,18,32,16,10,1,10
myerp-coverage/myerp-model,com.dummy.myerp.model.bean.comptabilite,EcritureComptable,0,217,2,6,0,51,2,20,0,18
myerp-coverage/myerp-model,com.dummy.myerp.model.bean.comptabilite,CompteComptable,3,86,0,6,1,26,1,11,1,8
myerp-coverage/myerp-business,com.dummy.myerp.business.impl.manager,ComptabiliteManagerImpl,5,720,3,55,1,177,3,68,0,42
myerp-coverage/myerp-business,com.dummy.myerp.business.impl,BusinessProxyImpl,9,24,2,0,3,8,2,4,1,4
myerp-coverage/myerp-business,com.dummy.myerp.business.impl,TransactionManager,5,35,2,2,2,14,3,6,1,6
myerp-coverage/myerp-business,com.dummy.myerp.business.impl,AbstractBusinessManager,2,25,0,0,1,11,1,5,1,5
myerp-coverage/myerp-consumer,com.dummy.myerp.consumer.dao.impl.cache,CompteComptableDaoCache,0,18,0,2,0,6,0,3,0,2
myerp-coverage/myerp-consumer,com.dummy.myerp.consumer.dao.impl.cache,JournalComptableDaoCache,0,18,0,2,0,6,0,3,0,2
myerp-coverage/myerp-consumer,com.dummy.myerp.consumer.dao.impl.db.rowmapper.comptabilite,SequenceEcritureComptableRM,0,34,0,0,0,7,0,2,0,2
myerp-coverage/myerp-consumer,com.dummy.myerp.consumer.dao.impl.db.rowmapper.comptabilite,EcritureComptableRM,0,47,0,0,0,10,0,2,0,2
myerp-coverage/myerp-consumer,com.dummy.myerp.consumer.dao.impl.db.rowmapper.comptabilite,JournalComptableRM,0,19,0,0,0,5,0,2,0,2
myerp-coverage/myerp-consumer,com.dummy.myerp.consumer.dao.impl.db.rowmapper.comptabilite,LigneEcritureComptableRM,0,39,0,0,0,8,0,2,0,2
myerp-coverage/myerp-consumer,com.dummy.myerp.consumer.dao.impl.db.rowmapper.comptabilite,CompteComptableRM,0,20,0,0,0,5,0,2,0,2
myerp-coverage/myerp-consumer,com.dummy.myerp.consumer,ConsumerHelper,3,5,0,0,1,3,1,2,1,2
myerp-coverage/myerp-consumer,com.dummy.myerp.consumer.db.helper,ResultSetHelper,49,0,6,0,16,0,7,0,4,0
myerp-coverage/myerp-consumer,com.dummy.myerp.consumer.dao.impl.db.dao,ComptabiliteDaoImpl,85,478,0,2,18,122,2,31,2,30
myerp-coverage/myerp-consumer,com.dummy.myerp.consumer.dao.impl,DaoProxyImpl,0,14,0,0,0,5,0,4,0,4
myerp-coverage/myerp-consumer,com.dummy.myerp.consumer.db,DataSourcesEnum,0,14,0,0,0,2,0,1,0,1
myerp-coverage/myerp-consumer,com.dummy.myerp.consumer.db,AbstractDbConsumer,31,80,4,4,4,18,4,6,1,5
